method,test_acc_mean,test_acc_std,test_acc_ci_lower,test_acc_ci_upper,val_acc_mean,val_acc_std,val_acc_ci_lower,val_acc_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,0.7938073394495413,0.009710533545879163,0.7817501195422732,0.8058645593568093,0.9160974160974161,0.0023829531535314976,0.91313858895727,0.9190562432375623,2.2311360422561077,0.18932577789795768,1.9960570399082918,2.4662150446039237,11.8,3.03315017762062,8.033846623303125,15.566153376696876,1709954.0,0.0,nan,nan
L1,0.7449541284403669,0.13184233585400704,0.581250246571357,0.9086580103093768,0.8411345411345412,0.15891158327300228,0.6438197492868948,1.0384493329821876,91.28020987699084,4.417119255628871,85.79563192150385,96.76478783247782,10.4,6.148170459575759,2.7660380855248894,18.03396191447511,1709954.0,0.0,nan,nan
L2,0.7901376146788991,0.00612217789680693,0.7825359267938351,0.7977393025639631,0.9174339174339174,0.004087127693650987,0.9123590781206494,0.9225087567471855,39.79678985516569,6.985369426967786,31.123308123546536,48.47027158678485,23.0,7.7781745930520225,13.34212063606409,32.65787936393591,1709954.0,0.0,nan,nan
ElasticNet,0.7901376146788991,0.007252930413230242,0.7811319121033139,0.7991433172544843,0.916186516186516,0.002958099102581238,0.912513551027722,0.91985948134531,36.67834339403282,4.142877587141342,31.53428144511414,41.822405342951505,15.2,3.1144823004794873,11.332859454451782,19.067140545548217,1709954.0,0.0,nan,nan
SCAD,0.7899082568807339,0.015690487501364273,0.7704259434360237,0.809390570325444,0.9166617166617167,0.002308687827549161,0.9137951021031576,0.9195283312202758,2.1808539878850537,0.26518486812785175,1.8515834842622874,2.51012449150782,11.4,3.646916505762094,6.8717550703401376,15.928244929659863,1709954.0,0.0,nan,nan
MCP,0.79151376146789,0.010921622431934976,0.7779527760921817,0.8050747468435983,0.916988416988417,0.0025570500976718796,0.9138134199405344,0.9201634140362996,2.0152004088998887,0.26900437900058666,1.6811873561356996,2.349213461664078,15.4,5.079370039680118,9.093129088174374,21.706870911825625,1709954.0,0.0,nan,nan
LSP,0.5091743119266054,0.0,nan,nan,0.5604989604989605,0.005614209112925553,0.5535279991650534,0.5674699218328677,99.78758492918523,0.015265383316620368,99.7686304523022,99.80653940606825,1.0,0.0,nan,nan,1709954.0,0.0,nan,nan
WD-tuned,0.7970183486238531,0.007343032382377137,0.7879007696770111,0.8061359275706952,0.9154440154440154,0.0019207677641229564,0.9130590672623936,0.9178289636256373,2.3865788202489657,0.11700220930214172,2.2413013892481946,2.531856251249737,10.4,2.3021728866442674,7.541474809012978,13.258525190987022,1709954.0,0.0,nan,nan
Tau(alpha=0),0.7919724770642202,0.009546630912049282,0.7801187691565895,0.803826184971851,0.9158598158598158,0.002556187540690825,0.912685889817883,0.9190337419017486,3.4311917162683914,0.2075414565408398,3.1734949615468597,3.688888470989923,17.0,5.787918451395113,9.813350034363406,24.186649965636594,1709954.0,0.0,nan,nan
τ(w),0.7889908256880733,0.006281221989738121,0.7811916584786897,0.796789992897457,0.914998514998515,0.000919022776760646,0.913857397503082,0.916139632493948,4.198475514546006,0.2379891545729905,3.902972949349773,4.493978079742239,12.2,3.1144823004794873,8.332859454451782,16.067140545548217,1709954.0,0.0,nan,nan
