method,test_acc_mean,test_acc_std,test_acc_ci_lower,test_acc_ci_upper,val_acc_mean,val_acc_std,val_acc_ci_lower,val_acc_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,0.75028,0.003958156136384729,0.7453653000261817,0.7551946999738182,0.75936,0.005733062009083779,0.752241463303851,0.7664785366961491,5.121186781480796,0.21704688372884617,4.8516874800323695,5.390686082929223,6.4,0.8944271909999159,5.289421957920883,7.510578042079118,2193226.0,0.0,nan,nan
L1,0.7409399999999999,0.002114946807841755,0.7383139466905868,0.743566053309413,0.75152,0.00732475255554754,0.7424251184560255,0.7606148815439744,84.83148567452693,0.8072766354278315,83.82911933972512,85.83385200932874,9.6,1.9493588689617927,7.179551272830933,12.020448727169066,2193226.0,0.0,nan,nan
L2,0.76162,0.0020861447696648608,0.759029709144466,0.7642102908555339,0.7657999999999999,0.005890670590009251,0.7584857664031077,0.7731142335968921,75.69488962833744,2.1657443185658862,73.00576287865984,78.38401637801503,15.2,3.492849839314596,10.863054103391264,19.536945896608735,2193226.0,0.0,nan,nan
ElasticNet,0.7484200000000001,0.007359143971957588,0.739282415872422,0.7575575841275781,0.76088,0.007408913550582186,0.7516806187784381,0.7700793812215619,38.39228606627863,3.1111161140067756,34.52932519328482,42.25524693927244,11.2,9.884331034521253,-1.0730179918932077,23.473017991893208,2193226.0,0.0,nan,nan
SCAD,0.74646,0.005788609504881129,0.739272491978129,0.753647508021871,0.7578400000000001,0.007050390060131405,0.7490857844890413,0.7665942155109589,3.13253627305166,0.15823839640003112,2.9360573531082452,3.3290151929950746,7.0,2.5495097567963922,3.8343655219166854,10.165634478083314,2193226.0,0.0,nan,nan
MCP,0.7506,0.005322593352868482,0.7439911274566646,0.7572088725433355,0.76092,0.007959396962081967,0.7510371033447705,0.7708028966552296,4.225957562056989,0.21519899129516312,3.9587527221160195,4.493162401997958,6.4,0.8944271909999159,5.289421957920883,7.510578042079118,2193226.0,0.0,nan,nan
LSP,0.7355999999999999,0.005648008498577197,0.7285870711857677,0.7426129288142321,0.74352,0.006871098893190236,0.7349884038762279,0.752051596123772,90.59478594545203,0.7471887162775619,89.6670286165861,91.52254327431797,12.0,2.9154759474226504,8.379958478456285,15.620041521543715,2193226.0,0.0,nan,nan
WD-tuned,0.7514399999999999,0.0034151134681002704,0.747199576556879,0.7556804234431208,0.7602,0.0062801273872430535,0.7524021919191268,0.7679978080808731,5.209805099884827,0.3524995952276708,4.772119043109228,5.647491156660426,5.6,1.1401754250991378,4.184285223017728,7.015714776982271,2193226.0,0.0,nan,nan
Tau(alpha=0),0.7495800000000001,0.004889989775040419,0.7435082757447479,0.7556517242552524,0.7604,0.007793587107359457,0.7507229834719267,0.7700770165280733,7.385996700750402,2.116263914614458,4.758307987275865,10.01368541422494,9.0,6.855654600401044,0.4875804985620107,17.51241950143799,2193226.0,0.0,nan,nan
τ(w),0.75036,0.004039554430874766,0.7453442306943984,0.7553757693056017,0.75908,0.007936749964563618,0.7492252233062563,0.7689347766937437,5.518564890257547,0.2172135917862191,5.24885859341607,5.788271187099024,5.2,1.3038404810405297,3.581068215291297,6.818931784708703,2193226.0,0.0,nan,nan
