method,test_mse_mean,test_mse_std,test_mse_ci_lower,test_mse_ci_upper,val_mse_mean,val_mse_std,val_mse_ci_lower,val_mse_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,2.5203869991004466,0.9259822654885818,1.370628157068115,3.6701458411327783,2.4712449418303435,0.8658207265602886,1.3961865167618075,3.5463033668988793,0.2220680083275503,0.07601978591327774,0.1276769770078757,0.3164590396472249,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
L1,2.5539882734417914,0.9204141647174301,1.4111431416753693,3.6968334052082135,2.506747133982502,0.8770005310609887,1.4178071481584902,3.5956871198065135,1.1658570437196392,0.597775307907232,0.4236209648760594,1.908093122563219,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
L2,2.523123823106289,0.9258926087500381,1.3734763046184033,3.6727713415941743,2.473397360337684,0.8664127980245838,1.397603781447569,3.549190939227799,0.2498265093684941,0.12606455325874355,0.09329669213747122,0.406356326599517,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
ElasticNet,2.520470966771245,0.9259381942231896,1.3707668464425058,3.6701750870999836,2.471327894357714,0.8658240543217467,1.396265337327581,3.5463904513878473,0.2359472588480222,0.09310484292157346,0.12034232733388786,0.35155219036215657,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
SCAD,2.5199712246656416,0.9261092169946072,1.3700547515187602,3.669887697812523,2.470884173248683,0.8658109959237206,1.395837830361253,3.5459305161361128,0.4163775156141568,0.2138936156477785,0.150793513618677,0.6819615176096366,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
MCP,2.5200485728681086,0.9261044737070244,1.370137989290652,3.6699591564455654,2.4709504174136883,0.8658185728216999,1.3958946665648193,3.546006168262557,0.40249826509368497,0.19872062544450178,0.15575401877871226,0.6492425114086577,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
LSP,2.548556859046221,0.8863073177283156,1.4480609712784265,3.6490527468140153,2.4998461041881868,0.8505236438058024,1.44378151605344,3.5559106923229336,3.6918806384455243,0.9831271855476137,2.4711670064956603,4.912594270395388,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
WD-tuned,2.52147170715034,0.9263702096203554,1.3712311688562704,3.67171224544441,2.4722926804955256,0.866123355693089,1.3968584917279838,3.5477268692630677,0.2359472588480222,0.09310484292157346,0.12034232733388786,0.35155219036215657,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
Tau(alpha=0),3.3226982153952123,1.0639278798657594,2.0016572702806394,4.643739160509785,3.2345153039708405,0.9535633173275344,2.0505100628374895,4.418520545104192,0.3469812630117974,0.16998540893706995,0.13591650051469323,0.5580460255089015,199.6,0.5477225575051661,198.91991261934174,200.28008738065824,1441.0,0.0,nan,nan
τ(w),2.5206209015101195,0.9261123902912933,1.3707004881949874,3.6705413148252517,2.471494017661638,0.8659749567517183,1.3962440905169675,3.546743944806308,0.2359472588480222,0.09310484292157346,0.12034232733388786,0.35155219036215657,199.8,0.4472135954999579,199.24471097896046,200.35528902103957,1441.0,0.0,nan,nan
