method,test_ppl_mean,test_ppl_std,test_ppl_ci_lower,test_ppl_ci_upper,val_ppl_mean,val_ppl_std,val_ppl_ci_lower,val_ppl_ci_upper,test_loss_mean,test_loss_std,test_loss_ci_lower,test_loss_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,66.2861892609758,0.21595999410998531,66.01803951123713,66.55433901071447,69.22953770595623,0.24971695994179116,68.91947314705561,69.53960226485685,4.193977329757187,0.0032540533861545144,4.189936888819366,4.198017770695008,2.1881110304852616,0.015015970939853598,2.1694662399711713,2.206755820999352,14.2,0.4472135954999579,13.64471097896044,14.755289021039559,7364608.0,0.0,nan,nan
L1,74.41121387604275,0.20290818240181127,74.15927009101345,74.66315766107205,78.54032468364503,0.1758931858672374,78.32192444722432,78.75872492006573,4.309603684813111,0.0027237721984145107,4.306221674935031,4.312985694691191,71.1433276557286,0.46174705196492405,70.56999296502703,71.71666234643017,28.2,1.3038404810405297,26.581068215291296,29.818931784708703,7364608.0,0.0,nan,nan
L2,66.21853638211368,0.09919168276067862,66.0953736407085,66.34169912351886,69.15966024684094,0.21214989786115102,68.89624135644415,69.42307913723774,4.192959532894931,0.0014968063079550968,4.191101002390059,4.194818063399803,2.5033267215308674,0.027483964699599378,2.4692008720354717,2.537452571026263,16.2,1.3038404810405297,14.581068215291296,17.818931784708703,7364608.0,0.0,nan,nan
ElasticNet,66.09373109027297,0.22701286298004852,65.81185739118148,66.37560478936446,69.03859163788927,0.3300833744291766,68.62873899545495,69.44844428032359,4.191069181672819,0.0034358062349935923,4.186803064766023,4.195335298579614,2.7955214995828697,0.01830806940710115,2.7727890289234565,2.818253970242283,14.8,0.8366600265340756,13.761149366316433,15.838850633683569,7364608.0,0.0,nan,nan
SCAD,66.33257523600426,0.1534734942722922,66.14201272348782,66.5231377485207,69.26591214935311,0.32635758370033635,68.86068568713164,69.67113861157459,4.1946789673396525,0.002312701503894249,4.1918073691436755,4.1975505655356296,2.1759230090725805,0.025693461046949344,2.144020363501333,2.207825654643828,14.6,0.8944271909999159,13.489421957920882,15.710578042079117,7364608.0,0.0,nan,nan
MCP,66.31930978303116,0.1467933455802671,66.13704177064825,66.50157779541406,69.27963328688695,0.32371620266536627,68.87768653240212,69.68158004137177,4.19447914322654,0.002213822455687136,4.191730319584899,4.197227966868182,2.2064609548804226,0.02338456274072878,2.1774251852115225,2.2354967245493227,14.6,0.8944271909999159,13.489421957920882,15.710578042079117,7364608.0,0.0,nan,nan
LSP,73.1722898488216,0.2926394297704521,72.80893000442076,73.53564969322245,77.29583057915018,0.4254195871521588,76.76760239365264,77.82405876464772,4.292810404955686,0.003995824236392193,4.287848933858208,4.297771876053164,73.01122069226223,0.4903992195781339,72.40230963656484,73.62013174795962,28.8,1.3038404810405297,27.181068215291297,30.418931784708704,7364608.0,0.0,nan,nan
WD-tuned,62.606555263627705,0.3336342519933064,62.192293624359976,63.02081690289543,65.106491252908,0.23939262025970057,64.80924605489587,65.40373645092014,4.1368585827586415,0.005345579484878089,4.1302211691627315,4.1434959963545515,3.199078620342047,0.01719382207750905,3.177729670476883,3.220427570207211,28.8,1.6431676725154982,26.759737858025233,30.84026214197477,7364608.0,0.0,nan,nan
Tau(alpha=0),59.85230222587743,0.24931115534317627,59.542741539937225,60.161862911817636,62.351819129329705,0.18431768445010024,62.12295849631573,62.58067976234368,4.091872949390622,0.00416909593080312,4.086696333068286,4.0970495657129575,2.9935687004657954,0.013153958463755729,2.977235903807482,3.0099014971241087,30.0,0.0,nan,nan,7364608.0,0.0,nan,nan
τ(w),60.16367099202883,0.2684169185243597,59.83038736778833,60.49695461626932,62.58645001556515,0.20134330327380956,62.33644928461064,62.83645074651966,4.097060730169108,0.004464094059517742,4.0915178252908095,4.102603635047407,3.357973703420467,0.013169304753031767,3.341621851827254,3.37432555501368,30.0,0.0,nan,nan,7364608.0,0.0,nan,nan
