method,test_acc_mean,test_acc_std,test_acc_ci_lower,test_acc_ci_upper,val_acc_mean,val_acc_std,val_acc_ci_lower,val_acc_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,0.9781000000000001,0.002126029162546936,0.9754601861297343,0.9807398138702659,0.9789666666666668,0.0014879142747110344,0.9771191770793446,0.9808141562539889,1.4615917891141508,0.11088674839417917,1.3239077057552193,1.5992758724730822,18.0,5.787918451395113,10.813350034363406,25.186649965636594,118282.0,0.0,nan,nan
L1,0.9790800000000001,0.001008464178838293,0.9778278263356585,0.9803321736643417,0.9792666666666667,0.0010775486583496476,0.9779287132912812,0.9806046200420523,49.13089058352074,4.8933346837099485,43.05501307559629,55.206768091445184,25.0,9.695359714832659,12.961620892457175,37.03837910754282,118282.0,0.0,nan,nan
L2,0.97776,0.0015175638372075227,0.9758756956183634,0.9796443043816365,0.9795,0.001184389200295982,0.9780293865701312,0.9809706134298689,4.150758357146481,0.6082838518985015,3.3954741975554015,4.9060425167375605,19.6,8.203657720797475,9.41381355449943,29.786186445500572,118282.0,0.0,nan,nan
ElasticNet,0.9784200000000001,0.0014272350892547325,0.9766478535726993,0.9801921464273008,0.9796333333333334,0.0007397447007057481,0.978714818970605,0.9805518476960617,22.145888639015237,4.725250804279492,16.27871483285801,28.013062445172462,22.6,5.856620185738529,15.328045564215028,29.871954435784975,118282.0,0.0,nan,nan
SCAD,0.97904,0.001597811002590723,0.9770560556021493,0.9810239443978508,0.9795666666666667,0.0015661346614444383,0.9776220536412121,0.9815112796921213,1.407991072183426,0.23906416115437815,1.1111537100172517,1.7048284343496,23.8,11.211601134539169,9.878958509022238,37.72104149097776,118282.0,0.0,nan,nan
MCP,0.97866,0.001008959860450354,0.9774072108656461,0.9799127891343539,0.9794,0.0014023789311974788,0.9776587165692927,0.9811412834307074,1.4869549043810555,0.17399520197344587,1.2709113262304352,1.7029984825316757,17.6,9.762171889492626,5.478662620540193,29.72133737945981,118282.0,0.0,nan,nan
LSP,0.9817599999999999,0.001246194206373969,0.9802126455191752,0.9833073544808245,0.9798333333333333,0.001554563175514783,0.9779030882053633,0.9817635784613034,85.13738354102907,2.34583881352011,82.22463994069211,88.05012714136602,23.6,2.8809720581775866,20.022800715529893,27.17719928447011,118282.0,0.0,nan,nan
WD-tuned,0.9782399999999999,0.0006503845016603913,0.9774324409792985,0.9790475590207013,0.9787000000000001,0.0018944362984510393,0.9763477466513231,0.9810522533486772,1.497945587663381,0.14704459144766766,1.3153656123322308,1.680525562994531,16.8,6.572670690061993,8.638951432100933,24.96104856789907,118282.0,0.0,nan,nan
Tau(alpha=0),0.9802199999999999,0.0017584083712266774,0.9780366476313076,0.9824033523686921,0.9803,0.0016090024514862778,0.9783021595829678,0.982297840417032,2.057624997886407,0.07946075071542298,1.9589614444528223,2.156288551319992,21.0,7.516648189186454,11.666848556323664,30.333151443676336,118282.0,0.0,nan,nan
τ(w),0.9776400000000001,0.00159154013458662,0.9756638419131874,0.9796161580868127,0.9787666666666667,0.0011155467020454008,0.977381532488422,0.9801518008449114,1.5314248998156947,0.19870255818136415,1.284703086970906,1.7781467126604835,17.0,9.354143466934854,5.38529682307405,28.61470317692595,118282.0,0.0,nan,nan
