method,test_mse_mean,test_mse_std,test_mse_ci_lower,test_mse_ci_upper,val_mse_mean,val_mse_std,val_mse_ci_lower,val_mse_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,0.00261751877842471,9.33711596462975e-05,0.0025015831710213667,0.0027334543858280537,0.002684512068791425,0.0002707379031510247,0.00234834656149962,0.0030206775760832296,0.3469210754553339,0.17346053772766698,0.13154137064982407,0.5623007802608437,175.4,23.797058641773354,145.85204902136627,204.94795097863374,1153.0,0.0,nan,nan
L1,0.00270666718861321,9.457016336198001e-05,0.0025892428214623906,0.0028240915557640293,0.0027570247252964794,0.0002532634011014054,0.0024425566780862246,0.0030714927725067342,17.294015611448394,4.931285095777473,11.171016443142705,23.417014779754084,164.8,30.784736477676727,126.57570102147866,203.02429897852136,1153.0,0.0,nan,nan
L2,0.0026835686672711744,9.981772494679244e-05,0.0025596285918221364,0.0028075087427202124,0.0027423556912325175,0.0002615531185705189,0.0024175946002855837,0.0030671167821794514,0.572419774501301,0.19966807342968496,0.3244991161329556,0.8203404328696464,149.4,15.582040944625964,130.05234074052098,168.74765925947904,1153.0,0.0,nan,nan
ElasticNet,0.0026186388291534967,9.330964872238002e-05,0.0025027795976498776,0.0027344980606571158,0.0026854163076838146,0.0002704032392027249,0.0023496663405681104,0.0030211662747995187,0.5030355594102341,0.25581754039466825,0.18539612939313743,0.8206749894273309,175.4,23.797058641773354,145.85204902136627,204.94795097863374,1153.0,0.0,nan,nan
SCAD,0.002617571716837119,9.335461659977875e-05,0.0025016566503390583,0.00273348678333518,0.002684592048856704,0.00027073868933100403,0.0023484255653935227,0.003020758532319885,0.8846487424111015,0.5600653700247333,0.18923573581072062,1.5800617490114823,175.4,23.797058641773354,145.85204902136627,204.94795097863374,1153.0,0.0,nan,nan
MCP,0.0025967613415559753,0.00012145719598345498,0.0024459523139805403,0.0027475703691314103,0.0026749084740146705,0.0002570053948672047,0.00235579412786392,0.002994022820165421,25.58542931483088,0.7178207006611812,24.69413719365449,26.476721436007267,187.4,14.223220451079285,169.73953922737937,205.06046077262064,1153.0,0.0,nan,nan
LSP,0.0026389937032945455,0.0001170965983049136,0.002493599072867206,0.002784388333721885,0.0026958585986137096,0.0002459385540129706,0.002390485550325512,0.003001231646901907,3.7814397224631398,0.679048712265859,2.938289383415996,4.6245900615102835,179.2,27.35324478009876,145.23646072249633,213.16353927750365,1153.0,0.0,nan,nan
WD-tuned,0.002617600625671912,9.336043973632991e-05,0.0025016783287948392,0.002733522922548985,0.0026845892973463327,0.0002707347537579568,0.0023484277005425165,0.003020750894150149,0.3469210754553339,0.17346053772766698,0.13154137064982407,0.5623007802608437,175.4,23.797058641773354,145.85204902136627,204.94795097863374,1153.0,0.0,nan,nan
Tau(alpha=0),0.002660715443198569,0.00012933940270569175,0.0025001193633097333,0.002821311523087405,0.002726068705612538,0.00024894504291430707,0.002416962608294552,0.003035174802930524,0.572419774501301,0.19966807342968493,0.3244991161329557,0.8203404328696463,186.4,12.541929676090518,170.827137453195,201.972862546805,1153.0,0.0,nan,nan
τ(w),0.0026175617720582524,9.336457940187256e-05,0.0025016343351075107,0.002733489209008994,0.0026845579898423138,0.0002707439721157676,0.0023483849469354812,0.0030207310327491463,0.3469210754553339,0.17346053772766698,0.13154137064982407,0.5623007802608437,175.4,23.797058641773354,145.85204902136627,204.94795097863374,1153.0,0.0,nan,nan
