method,test_acc_mean,test_acc_std,test_acc_ci_lower,test_acc_ci_upper,val_acc_mean,val_acc_std,val_acc_ci_lower,val_acc_ci_upper,sparsity_mean,sparsity_std,sparsity_ci_lower,sparsity_ci_upper,convergence_epoch_mean,convergence_epoch_std,convergence_epoch_ci_lower,convergence_epoch_ci_upper,total_params_mean,total_params_std,total_params_ci_lower,total_params_ci_upper
Baseline,0.7462399999999999,0.00951567128478071,0.7344247335469464,0.7580552664530534,0.757,0.00567626637852736,0.7499519843935681,0.7640480156064319,1.6794510482699785,0.28606038409313506,1.324260168029192,2.034641928510765,88.8,38.94483277663418,40.4436032251874,137.1563967748126,811146.0,0.0,nan,nan
L1,0.7345,0.008874964788662551,0.7234802757365917,0.7455197242634084,0.74196,0.0052352650362708555,0.7354595598834075,0.7484604401165924,78.69328086435735,0.6945823471092041,77.83084297016399,79.55571875855071,96.8,26.432934002868464,63.97917748174211,129.62082251825788,811146.0,0.0,nan,nan
L2,0.7436800000000001,0.008463273598318789,0.7331714578660192,0.754188542133981,0.75344,0.008666487177628529,0.7426791348806441,0.7642008651193559,44.55501229125213,2.550897736352785,41.3876544089234,47.72237017358086,101.6,35.17527540759276,57.924126899489835,145.27587310051015,811146.0,0.0,nan,nan
ElasticNet,0.74522,0.0076185300419437905,0.7357603455276845,0.7546796544723154,0.75656,0.005760902707041657,0.7494068945115118,0.7637131054884883,2.152017022829429,0.15397575456627452,1.960830871788227,2.3432031738706307,101.6,33.087762088119526,60.51611703405058,142.6838829659494,811146.0,0.0,nan,nan
SCAD,0.743,0.007188184749990769,0.7340746897834991,0.7519253102165009,0.7588,0.006251399843235092,0.7510378618762784,0.7665621381237216,1.5689160767605337,0.24191833943184934,1.2685347841827683,1.869297369338299,96.6,35.45842636102172,52.572548554560015,140.62745144544,811146.0,0.0,nan,nan
MCP,0.74586,0.006607798423075574,0.7376553345906794,0.7540646654093205,0.75944,0.008669948096730443,0.7486748375819946,0.7702051624180054,1.558387762498983,0.22929251872381928,1.2736834969421542,1.8430920280558118,97.6,31.205768697470024,58.85292047207749,136.3470795279225,811146.0,0.0,nan,nan
LSP,0.73002,0.008473901108698384,0.7194982620689903,0.7405417379310097,0.73628,0.007209160838821634,0.7273286445291748,0.7452313554708253,86.17102223274232,0.40981332166176454,85.6621717852506,86.67987268023403,129.6,19.73068675946177,105.10111659094062,154.09888340905937,811146.0,0.0,nan,nan
WD-tuned,0.74756,0.007416737827373989,0.7383509036556337,0.7567690963443663,0.7614799999999999,0.008895616898225779,0.7504346327556599,0.77252536724434,2.1784734190885486,0.1742291010111701,1.9621394169235717,2.3948074212535255,96.2,28.52542725359254,60.781003945833675,131.61899605416633,811146.0,0.0,nan,nan
Tau(alpha=0),0.7420000000000001,0.0042029751367335215,0.7367813170873726,0.7472186829126276,0.7512000000000001,0.005644466316668056,0.7441914693855196,0.7582085306144806,4.503529574207356,0.09339586964456181,4.387563285288771,4.61949586312594,97.6,28.271894170713075,62.49580684719871,132.70419315280128,811146.0,0.0,nan,nan
τ(w),0.7437199999999999,0.009580814161646179,0.7318238479820031,0.7556161520179968,0.75724,0.008841266877546418,0.7462621172196392,0.7682178827803609,3.532286419460861,0.11615498968779041,3.388060950553802,3.67651188836792,87.0,28.257742301889582,51.91337871322415,122.08662128677585,811146.0,0.0,nan,nan
